sentences,Neutral,OverconfidenceBias,ConfirmationBias,AnchoringBias,FramingBias,OccasionNoise
"During a rowdy party, Mike mistakenly gave confidential information to the wrong person, jeopardizing his company's project.",0,0,0,0,0,1
"After considering the last person's offer, I bought the house for $300,000, even though it was only valued at $250,000.",0,0,0,1,0,0
"Sure, the last three companies aiming to revamp the smartphone market did crash and burn despite hefty investments. Heck, seasoned economists and even our internal data suggests there might be risks involved. But we are not them. Our vision, our innovation and most importantly, our team is more dynamic and smarter. We're ready to make a global impact and revolutionize this industry. Nothing can stop us from being the next big thing in the tech world.",0,1,0,0,0,0
"Mary always believed that living in big cities increased the chances of developing chronic stress. To confirm this belief, she searched exclusively for research articles, studies, and reports that showed high stress levels in urban residents, ignoring any counter evidence or studies demonstrating the benefits of city living or the presence of stress in rural areas.",0,0,1,0,0,0
"I don't need further tests or research. I am absolutely certain that my new energy-saving device will revolutionize the industry. Once we launch it, we're going to make every other technology obsolete.",0,1,0,0,0,0
"Even though you've shown me multiple high-performing stocks, I still believe investing in the local company I mentioned earlier is the best option; after all, their recent performance doesn't mean they won't improve in the future.",0,0,0,1,0,0
I've never studied Spanish but I'm confident I can easily translate this complex legal document right away.,0,1,0,0,0,0
James rejected any evidence that didn't support his existing opinions.,0,0,1,0,0,0
"Despite the news reporting on the latest scientific study, I still believe that skipping breakfast leads to weight gain because it aligns with my own experience.",0,0,1,0,0,0
"Even though there are numerous studies pointing out the adverse impacts of fast food, I've chosen to believe the ones saying it's not that harmful because I simply can't give up my love for burgers.",0,0,1,0,0,0
I was so tired that I sat in my car for 10 minutes before remembering I needed to go inside.,0,0,0,0,0,1
I played a video game for a few hours after work.,1,0,0,0,0,0
"Liam anchored his fitness plan on the first suggestion from his trainer, ignoring other advice.",0,0,0,1,0,0
"Despite limited legal knowledge, Emma confidently argued her case in court by cherry-picking evidence that confirmed her position.",0,1,1,0,0,0
I'm certain my garden will yield the healthiest crops this season because I've been gardening for 20 years and never faced a single issue.,0,1,0,0,0,0
"Despite never having ridden a horse before, I'm absolutely certain I'll win the championship race tomorrow.",0,1,0,0,0,0
I believed I could complete the task without reviewing the details and ignored advice to prepare more thoroughly.,0,1,1,0,0,0
"Ever since I read that article claiming that most successful people wake up at 5 am, I've been setting my alarm for that time, even though I'm usually more productive at night.",0,0,0,1,0,0
"While trying to focus on a challenging crossword puzzle, the jarring noise of a nearby construction site made it impossible for me to think clearly and solve the puzzle efficiently.",0,0,0,0,0,1
"Even though my colleague presented compelling evidence to the contrary, I still firmly believe my favorite football team is the best because they've never let me down in the past.",0,0,1,0,0,0
"Despite hearing that the new restaurant across town offers an exotic menu and has great reviews, I honestly feel it can't be better than my usual favorite diner, which I've been going to for years.",0,0,0,1,0,0
"Both job offers provide competitive salaries, but job A offers a flexible work schedule while job B offers a comprehensive health insurance package.",1,0,0,0,0,0
"Is stuck in traffic, trying to decide whether to take a detour. Ugh, so frustrating!",0,0,0,0,0,1
"Bought a high-end blender because a friend raved about theirs, anchoring on their satisfaction without considering my needs.",0,0,1,0,0,1
Grace trusted the first real estate ad she came across while reading the newspaper.,0,0,0,1,0,0
"Feeling rushed, I agreed to a pricey car repair estimate without checking other options.",0,0,0,1,0,1
"Texting friends, ended up choosing the Italian restaurant.",0,0,0,0,0,1
"Despite all the research proposing various health benefits of a vegetarian diet, I still firmly believe that my meat-rich diet is the healthiest option because the strongest person I know eats a lot of meat.",0,0,1,0,0,0
"Even though I haven't read a single positive review about that restaurant, I only trust my own experience and I still believe it serves the best sushi in town.",0,0,1,0,0,0
"I've examined all the data and believe it's best to invest in renewable energy sources moving forward. She has looked at all the available options and decided to go for a hybrid car for its fuel efficiency. After considering the pros and cons, I've chosen to continue my education online due to its flexibility and cost-effectiveness. They have weighed the benefits and drawbacks, and have agreed to relocate their business to a more urban area to attract more customers. Taking into account all the relevant factors, I've decided to adopt a plant-based diet for health and environmental reasons. He has evaluated both the immediate and long-term impacts, and decided to implement a new software system to improve productivity. ",1,0,0,0,0,0
"Even though I've never attempted oil painting before, I'm certain it will only take me a day or two to master it.",0,1,0,0,0,0
"Under deadline pressure, so I quickly picked the most expensive hotel option.",0,0,1,0,0,1
Mark dismissed his colleague's opinion because it didn’t confirm what he believed.,0,0,1,0,0,0
"Even though I've seen several studies presenting benefits of a vegetarian diet, I keep searching only for those health articles that assure me my meat-lover diet is the best choice for my well-being.",0,0,1,0,0,0
Ben chose the first company he came across for his car insurance.,0,0,0,1,0,0
"Even though there's a myriad of evidence that contradicts my belief in the flat Earth theory, I only pay attention to those few arguments that uphold it, justifying my steadfast conviction.",0,0,1,0,0,0
Picked the classical music playlist because it was the first one that played on shuffle.,0,0,1,0,0,1
David decided to stick with the apartment he visited on the first day of his search.,0,0,0,1,0,0
Personal experiences led me to seek out information that would back up my preconceived notions.,0,0,1,0,0,0
I tidied up my workspace to feel more organized.,1,0,0,0,0,0
Couldn't resist buying the latest gadget just because my sibling recommended it.,0,0,0,0,0,1
I quickly chose a workshop to attend without much thought.,0,0,0,0,0,1
"As a wine enthusiast, I inherently believe that a higher price tag signifies a superior quality wine, even though I know the cost of production doesn't always correlate with taste.",0,0,0,1,0,0
"Ever since I read that one study saying red cars are more likely to get pulled over, I can't shake the idea and now I'm certain my red sedan is a cop magnet, despite my perfect driving record.",0,0,0,1,0,0
"Feeling super confident after acing that test, I think I could definitely handle taking on more projects without any issues.",0,0,1,0,0,1
Selected the pricier subscription tier thinking it offered more benefits.,0,0,1,0,0,1
"Despite the interviewee's brilliant qualifications and recommendations, Mark couldn't overlook his initial impression of her tardiness.",0,0,0,1,0,0
I was so fatigued that I forgot to pick up groceries on my way home from work.,0,0,0,0,0,1
"Jack stuck with articles that aligned with his beliefs, ignoring any opposing ones.",0,0,1,0,0,0
Had to reheat my coffee three times while trying to juggle chores and emails.,0,0,0,0,0,1
"I entered a cooking competition, certain I could win even though I rarely cook.",0,1,0,0,0,0
"Despite limited experience, Sarah anchors on a friend's advice and overconfidently invests a large sum in a volatile stock.",0,1,0,1,0,0
"Despite the variety of diets available, I still firmly believe that a low-carb diet is the most effective because I've only chosen to read research articles that support this viewpoint.",0,0,1,0,0,0
"Joshua only cited research that backed up his assumptions, dismissing other studies.",0,0,1,0,0,0
I factored in all relevant variables when evaluating the situation.,1,0,0,0,0,0
"After hearing early reports of a film being terrible, Jake refused to watch it even though recent reviews praised its unique storyline and unexpected plot twists.",0,0,0,1,0,0
"Sophie went with the first home security system she found online, without considering other brands.",0,0,0,1,0,0
"After thoroughly analyzing all available data and hearing all perspectives, I've decided that we will invest in the expansion of our digital marketing as it has shown the highest return on investment in the last fiscal year.",1,0,0,0,0,0
"John, an avid supporter of the Green Party, only subscribes to news outlets and follows social media accounts that endorse his political party. During elections, he cherry-picks statistics and reports that demonstrate the effectiveness of the Green Party's policies, ignoring anything that might suggest otherwise. This attitude reinforces his belief that the Green Party is the only viable political option.",0,0,1,0,0,0
"As a book-lover and a frequent traveler, I'm always looking for intriguing novels set in the different cities I plan to visit.",1,0,0,0,0,0
"I promised to help my friend move, thinking I could lift all the heavy furniture myself.",0,1,0,0,0,0
Rachel worked on her garden to prepare for the summer.,1,0,0,0,0,0
"Despite all the scientific evidence presented, I still only believe what aligns with my preconceived notion that the earth is flat.",0,0,1,0,0,0
Chose the premium gym membership because it was prominently featured on the front page of the website.,0,1,0,0,0,1
"Impatient for a response, so I'm sending the first email draft without reviewing it thoroughly. Anchoring on speed over accuracy.",0,1,0,0,0,1
"When tired, I am more likely to say yes to social invitations I would normally decline.",0,0,0,0,0,1
"Despite never having taken an art class, I'm absolutely certain I can paint a fresco as breathtaking as Michelangelo's Sistine Chapel ceiling.",0,1,0,0,0,0
"While receiving ambiguous medical test results, Marcus only considered the potential explanations that aligned with his self-diagnosis, discarding objective interpretations that did not support his overly optimistic assumptions.",0,1,1,0,0,0
"The job applicant confidently embellished their qualifications, seeking out references that would confirm their overstated skills while dismissing any critique as unwarranted, demonstrating overconfidence and confirmation biases.",0,1,1,0,0,0
"Despite never taking a single art class, I'm absolutely sure I could out-paint Monet himself given the right brushes.",0,1,0,0,0,0
"After reading multiple articles on the health benefits of a vegan diet, Sarah became convinced that going vegan was the only healthy way to eat, and she started to ignore or dismiss any research that suggested otherwise, as this didn't align with her new beliefs.",0,0,0,1,0,0
"Under the blinding glare of the paparazzi's cameras, the celebrity made a rash statement that later caused controversy.",0,0,0,0,0,1
"After working late into the night, Susan decided to sign the contract without thoroughly reviewing it due to exhaustion.",0,0,0,0,0,1
The weather forecast predicts rain tomorrow.,1,0,0,0,0,0
"Even though I've researched the market and the average house price is much lower, I can't help but use the first house price I saw as a reference.",0,0,0,1,0,0
"You know, when I first looked at the car, my initial thought was $20,000 but that might be just because I saw a similar model listed at that price; I probably need to look at a range of sources before making a final decision.",1,0,0,0,0,0
Grace chose the first investment fund mentioned in a financial article.,0,0,0,1,0,0
"Despite the recent surge in comprehensive studies disproving the myth, John, having read an old article years ago, adamantly insists that vaccinations cause autism and selectively shares only those outdated reports that seem to affirm his belief.",0,0,1,1,0,0
"Picking a movie to watch based on the first review I saw. The high rating must mean it's good, right?",0,0,1,0,0,1
"Oscar only discussed the studies that confirmed his stance, leaving out contradicting ones.",0,0,1,0,0,0
"Even though I've never played golf before, I'm certain I can beat the seasoned players at tomorrow's tournament; after all, I've always been a quick learner.",0,1,0,0,0,0
"Despite having no formal training in photography, I'm absolutely certain I could capture award-winning shots on my first try.",0,1,0,0,0,0
"As a passionate historian, I devote my weekends to unraveling the rich tapestry of civil war narratives to better understand our collective history.",1,0,0,0,0,0
Rushed out the door without grabbing my wallet.,0,0,0,0,0,1
Lucas went for a run in the park before work.,1,0,0,0,0,0
"Despite having a long history of cheering for the Yankees, I understand that every team has their strengths and weaknesses, and I enjoy watching competitive games regardless of who wins.",1,0,0,0,0,0
"I am confident in my child-rearing methods, disregarding advice from seasoned parents.",0,1,0,0,0,0
"Ever since I read about the economic recession in the newspaper this morning, I can't help but feel pessimistic about the profitability of my new business venture.",0,0,0,1,0,0
I was so tired that I almost wore my slippers to work instead of my shoes.,0,0,0,0,0,1
Decided to order lunch instead of making it.,0,0,0,0,0,1
The noisy distraction of a bustling café made the doctor misinterpret a patient's symptoms.,0,0,0,0,0,1
"The crisp fall weather invigorated me, boosting my motivation to train harder during a workout, demonstrating the effect of climate on physical performance.",0,0,0,0,0,1
"Had to choose between a shower or breakfast, shower won.",0,0,0,0,0,1
"Even though all the professional investment advisors suggest investing in a diversified portfolio, John believes his strategy of investing all his savings in one technology company will yield better returns.",0,1,0,0,0,0
"Because my first car was a Toyota and I loved it, I always think that Toyota makes the best cars even though I haven't tried many other brands.",0,0,0,1,0,0
Rachel refused to engage with any ideas that went against her beliefs.,0,0,1,0,0,0
"Emma chose the first hotel package she saw for her trip, without checking more options.",0,0,0,1,0,0
I believe I can multitask efficiently without compromising quality.,0,1,0,0,0,0
Rachel anchored her decision on the first data set she encountered and didn’t check for updates.,0,1,0,1,0,0
"Despite never having taken a dance class in my life, I'm absolutely certain I could effortlessly perform a flawless ballet routine on my first attempt.",0,1,0,0,0,0
"As a dedicated scientist, my goal is to objectively analyze data from all angles, ensuring every hypothesis is evaluated fairly and without prejudice.",1,0,0,0,0,0
"Despite my love for classic literature, I remain open to exploring different genres like science-fiction and fantasy, affirming my belief that brilliance can be found in all kinds of writing.",1,0,0,0,0,0
"Andy, a software developer with outdated skills, confidently rejects offers for professional development classes, believing himself to already be proficient enough for any project.",0,1,1,0,0,0
Michael stuck to the research that confirmed his perspective.,0,0,1,0,0,0
"Even after reading extensive research studies challenging the efficacy of vitamin C for curing common colds, John remained convinced of its benefits because he only considered anecdotal evidence from his friends who claimed they felt better after taking it.",0,0,1,0,0,0
"Even though my colleague provided compelling evidence against my belief in horoscopes, I only focused on the findings that supported my conviction and dismissed the rest.",0,0,1,0,0,0
Ben selected the new restaurant his friend mentioned over drinks.,0,0,0,1,0,0
"Jessica discounts objective feedback on her performance review, locked onto a single piece of criticism as her anchor and cherry-picking positive comments to confirm her view that she's doing well.",0,0,1,1,0,0
"Weather is gloomy, so I'm assuming it will continue raining and bringing an umbrella even though the forecast says otherwise. Anchoring on the current weather condition.",0,1,0,0,0,1
"Even though I'm surrounded by countless studies on climate change, I only pay attention to those that support my belief that it's a natural cycle, not a result of human activity.",0,0,1,0,0,0
I planned my upcoming road trip with friends.,1,0,0,0,0,0
"Even though I've never brewed coffee before, I'm positive that my first batch will put the best baristas in town to shame.",0,1,0,0,0,0
I made a list of things I need to do over the weekend.,1,0,0,0,0,0
I comprehend the importance of time management in achieving goals.,1,0,0,0,0,0
"Rushed, but I'm accepting more appointments because the initial meeting went smoothly.",0,1,0,0,0,1
"After seeing a news headline about a celebrity shoplifting, I've stuck to the belief that all famous individuals are reckless, regardless of how many stories I read about their philanthropic efforts.",0,0,1,1,0,0
"Feeling drained after the meeting, I chose the first book on the shelf to read.",0,0,0,1,0,0
"I feel confident in performing surgery on myself, rejecting the need for a trained surgeon.",0,1,0,0,0,0
"As a wildlife photographer, I make sure to respect all creatures equally, giving even the tiniest ant the opportunity to shine in front of my lens.",1,0,0,0,0,0
"Whenever I watch the news, I only tune into the channels that support my political views, because they always seem to reveal the real truth.",0,0,1,0,0,0
"Signed up for a pricey monthly skincare box because the first one I found promised quick results, anchoring on instant gratification.",0,0,1,0,0,1
"Even though the house was a complete mess, James's decision to clean it was thwarted by his overwhelming exhaustion after a long day at work.",0,0,0,0,0,1
The calm and serene setting of the park helped me make a more thoughtful decision about a relationship issue.,0,0,0,0,0,1
Tom followed the first tech upgrade plan that popped up on his phone provider's website.,0,0,0,1,0,0
"Even though I've visited numerous cafes around the city, none of them seem to taste as good as the very first place I sipped my coffee.",0,0,0,1,0,0
"As a rookie trader, Jack overestimated his ability to predict market trends, anchoring his investment decisions on irrelevant news articles, showcasing both overconfidence and anchoring bias.",0,1,0,1,0,0
"After spending a few hours learning Spanish phrases online, John decided he was skilled enough to translate a technical manual from Spanish to English for his company.",0,1,0,0,0,0
Ben stuck with the first subscription service he signed up for.,0,0,0,1,0,0
I only follow news channels that align with my political views because I find their reporting to be the most accurate and unbiased.,0,0,1,0,0,0
"On a rainy Monday morning, an investor impulsively sold off stocks based on volatile market trends, influenced by the gloomy weather rather than rational analysis.",0,0,0,0,0,1
I took some time to organize my digital photo library.,1,0,0,0,0,0
"Even after reviewing empirical evidence that clearly outlines the benefits of renewable energy, John remained steadfast in his belief that fossil fuels are the backbone of our economy and our lifestyle.",0,0,1,0,0,0
"Despite recent scientific studies indicating the contrary, Mark remained adamantly convinced that his initial belief of all left-handed people being more creative is true, as he continues to selectively remember instances where he found left-handed artists.",0,0,1,1,0,0
"Despite not having any experience in this particular industry nor reviewing the candidate's past performance records, I'm certain that my gut feeling about this candidate is correct. They'll be a perfect fit for our company.",0,1,0,0,0,0
"Distracted by emails, but agreeing to a social gathering because the initial location was trendy.",0,1,0,0,0,1
"In a rush, I purchased a product with extra features I didn't need because the original version seemed basic and outdated.",0,0,0,1,0,1
"Sarah, a staunch supporter of the Green Party, frequently discards any positive news about the other political parties, and only shares articles that confirm her belief that the Green Party is the superior choice.",0,0,0,1,0,0
Sophia trusted the initial advice she received and dismissed alternatives.,0,0,1,1,0,0
Grace felt confident in her plan and didn’t consider any other strategies.,0,1,1,0,0,0
"Since my first car was a reliable Japanese model, I firmly believe that all Japanese cars are more dependable than any other countries' cars.",0,0,0,1,0,0
"Even though I've never done any coding before, I'm sure I can master Python in just one week.",0,1,0,0,0,0
"Despite having only seen a few YouTube videos on baking, I'm quite convinced that I could win the Great British Bake Off next season.",0,1,0,0,0,0
"Despite never having studied fine arts, I'm completely sure I can walk into any gallery and pick out the timeless masterpieces from the rest because I have an instinctive understanding of art.",0,1,0,0,0,0
"In a hurry, I went with the highest-priced item assuming it was the best quality.",0,0,0,1,0,1
Lucas felt certain his project plan was flawless and rejected any alternative suggestions.,0,1,1,0,0,0
I appreciate constructive feedback as a means to improve and grow.,1,0,0,0,0,0
"Sure, I've never actually run a marathon before, but I've read numerous books about it. I can easily complete it in under four hours.",0,1,0,0,0,0
"When I first read that low-carb diets lead to weight loss years ago, I've consistently only acknowledged research that supports this theory, dismissing any studies that suggest otherwise.",0,0,1,1,0,0
I ensured that all variables were accounted for in my analysis.,1,0,0,0,0,0
Went for the pricier haircut option because it was recommended by the salon's stylist.,0,1,0,0,0,1
"Every time I read an article arguing that artificial intelligence is dangerous, it just reinforces my belief that all technological advancements are bound to end up catastrophic.",0,0,1,0,0,0
"During a high-pressure cooking competition, a loud siren blaring outside the studio caused one contestant to forget a key ingredient in their dish.",0,0,0,0,0,1
"Despite having never painted before, John was overly confident that he could create a masterpiece similar to those hanging in the Louvre.",0,1,0,0,0,0
"After a sleepless night preparing for tomorrow's meeting, John felt so drained and irritable that his usually favorable opinion of his colleagues started to sour, demonstrating how fatigue can influence one's thinking and judgments.",0,0,0,0,0,1
"In a soccer match, Dave overly focuses on the early lead of his team, anchoring his prediction of the game's outcome on that moment and confirming his bias by dismissing signs of a potential opponent comeback.",0,0,1,1,0,0
I recognize that kindness can create positive ripple effects.,1,0,0,0,0,0
I took a walk to clear my mind after a long day.,1,0,0,0,0,0
Haven't mustered up the energy to respond to texts all day.,0,0,0,0,0,1
John dismissed the debate because it contradicted his point of view.,0,0,1,0,0,0
"Every time I watch the news, I only tune into channels that align with my political views, and disregard the rest as misinformation.",0,0,1,0,0,0
"Since my initial investment in cryptocurrency tripled in value, I can't help but view every new digital currency as a potential gold mine.",0,0,0,1,0,0
"Was tired, so I bought a pricey bottle of wine without considering more affordable options.",0,0,0,1,0,1
I thought I could throw together a successful presentation on the morning of the meeting.,0,1,0,0,0,0
"After reading that dolphins might enjoy jazz, I immediately found three articles agreeing and ignored the one saying it was just random movement.",0,0,1,0,0,0
I assured my colleagues I could handle the new software rollout without any extra training.,0,1,0,0,0,0
Sophia anchored her decision to buy a vacation home based on the first real estate ad she saw.,0,0,0,1,0,0
"Got caught in a rainstorm, ended up splurging on a fancy umbrella way above my budget.",0,0,0,1,0,1
"Even though my team lost the game, I only remember the moments where they played brilliantly, further solidifying my belief that they're the best in the league.",0,0,1,0,0,0
I went with the first job offer because the salary seemed fair.,0,0,0,1,0,0
"Despite never having played soccer competitively, Laura confidently coaches her son's team with outdated strategies due to her belief that she understands the game better than others.",0,1,1,0,0,0
"Since my first-ever stock investment tripled in value, I've always expected every stock I purchase to give me at least double returns.",0,0,0,1,0,0
"I was too tired to cook, so I ordered takeout instead.",0,0,0,0,0,1
David cleaned his garage to organize his tools.,1,0,0,0,0,0
"Inad's overconfident assumptions about his sports knowledge rendered him dismissive of advice from seasoned coaches, hindering his team's progress.",0,1,1,0,0,0
"Ever since I scored top in my first baking class, I can't help but assume every cake I make is better than my peers, even though they've been baking for years.",0,0,0,1,0,0
"Despite receiving numerous studies proving the efficacy of the vaccine, John stuck with his belief that the vaccine was ineffective and chose not to get vaccinated.",0,0,1,0,0,0
"Despite you suggesting that downtown properties have better investment potential due to recent infrastructure and commercial developments, I'm still inclined to believe that the suburban property I initially viewed, with its green lawns and quiet streets, is the best investment for my real estate portfolio.",0,0,0,1,0,0
"As a lifelong gardener, I have found that both sun and rain are equally vital to the blossoming of my beloved roses, much like how diverse ideas contribute to the growth of my professional life.",1,0,0,0,0,0
"After seeing a sensationalized news headline about the rise in violent crimes in small towns, my grandmother never fails to reiterate her steadfast belief that rural areas have become too dangerous to live in, despite statistical evidence showing otherwise.",0,0,1,1,0,0
"Lisa, having an open mind towards every neighborhood in the city, calmly invested time in researching all available apartments before settling on her new home.",1,0,0,0,0,0
"Being tired, I impulsively bought a costly gadget because it seemed convenient at the time.",0,0,0,1,0,1
"Busy with chores, but I'm adding more because the first few were done efficiently.",0,1,0,0,0,1
I've spent my summer volunteering at both the local animal shelter and the senior citizens' center because I believe it's essential to give back to all aspects of my community equally.,1,0,0,0,0,0
"Olivia thought she could climb the mountain on her first try, without any prior training.",0,1,0,0,0,0
Feeling sleepy but still want to order more food because my friend mentioned a high-calorie meal earlier.,0,1,0,0,0,1
"Every time I watch the news, I only tune into the channel that supports my political views, ignoring others that may offer a different perspective.",0,0,1,0,0,0
"I chose the first furniture set I saw on sale, without comparing other stores.",0,0,0,1,0,0
"I always find myself favoring news channels that align with my political views, it's like they're the only ones reporting the truth.",0,0,1,0,0,0
"Was at a loud party, couldn't hear myself think, ended up choosing the wrong dress.",0,0,0,0,0,1
"As a passionate botanist, I often lose track of time while tending to my vibrant garden that boasts a colorful variety of flora from all around the globe.",1,0,0,0,0,0
"Just got paid, so I splurged on a designer bag I've been eyeing for weeks without considering cheaper alternatives.",0,0,1,0,0,1
"Despite having only taken a few piano lessons, I'm positive that I can outplay seasoned musicians at their own game.",0,1,0,0,0,0
Ben chose his wedding venue based on the location recommended in a friend's wedding blog.,0,0,0,1,0,0
I will consult with experts to gain a deeper understanding of the topic.,1,0,0,0,0,0
"The fantasy football manager firmly believed in their lineup decisions without considering alternative strategies, only absorbing information that reinforced their starting lineup, reflecting both overconfidence and confirmation biases.",0,1,1,0,0,0
"Heading to a party, I picked an outfit quickly based on what I wore last time, overlooking other options.",0,0,0,1,0,1
"Ever since I won big on my first lottery ticket, I've been convinced that I have a knack for choosing the winning numbers, even though I've lost many times afterwards.",0,0,0,1,0,0
Mark assured his boss he could handle the promotion without training.,0,1,0,0,0,0
"Thank you for presenting the updated data analysis, but I'm afraid I still trust my gut feeling. My original predictions about our marketing strategy have always served me well in the past and I don't see why this instance should differ.",0,0,0,1,0,0
James was certain he could pass his certification exam by studying the night before.,0,1,0,0,0,0
"Despite his brilliant ideas and achievements, Sarah immediately dismissed John as a potential business partner just because he had worn casual attire to their first meeting.",0,0,0,1,0,0
