Sentence,Neutral,OverconfidenceBias,ConfirmationBias,AnchoringBias,FramingBias,OccasionNoise
"Despite the numerous studies showing the adverse effects of junk food, John decided to continue eating it, focusing only on the few articles that suggested it's okay in moderation.",0,0,1,0,0,0
"I've decided to follow a vegan diet because I've read multiple studies that show it's the healthiest lifestyle, ignoring any research indicating the need for animal-based nutrients.",0,0,1,0,0,0
"Even though there are numerous studies presenting the adverse effects of climate change, John refuses to acknowledge them and only accepts the few reports that claim climate change is a natural, harmless phenomenon.",0,0,1,0,0,0
"Even though there's extensive data suggesting the health benefits of regular exercise, Sam only considered studies that supported his belief that his sedentary lifestyle wouldn't harm his overall wellbeing.",0,0,1,0,0,0
"Even though there are plenty of studies showcasing the negative effects of excessive sugar intake, I'm going to keep eating sweets daily because I've read one article that claims sugar helps improve mood and energy levels.",0,0,1,0,0,0
"Since all my successful investments have been in technology stocks, I'm going to ignore the potential risks and concentrate only on these when building my portfolio.",0,0,1,0,0,0
"Despite the numerous studies showing the benefits of exercise, John was utterly convinced that his sedentary lifestyle was perfectly healthy because he only focused on that one article he found which stated that too much exercise could cause harm.",0,0,1,0,0,0
"Even though there are various studies highlighting the dangers of excessive sugar consumption, I'm sticking with my belief that eating sweets doesn't affect my health because I've read a single blog post that says sugar boosts brain activity.",0,0,1,0,0,0
"John always ignores any research that highlights the benefits of a vegetarian diet, only focusing on studies that demonstrate the importance of meat for overall health because he strongly believes in his meat-rich lifestyle.",0,0,1,0,0,0
"Despite the overwhelming evidence of climate change, John only focused on the handful of articles that denied its existence, and insisted that global warming is a myth.",0,0,1,0,0,0
"Even though there are numerous studies illustrating the potential negative effects of screen-time on children's health, I choose to focus on the ones that argue for the benefits of technology in education, since I believe that digital learning is the future of education.",0,0,1,0,0,0
"Even though a variety of diet plans may lead to weight loss, I firmly believe in the efficacy of the keto diet because I only pay attention to success stories from people using this diet.",0,0,1,0,0,0
"Despite the clear evidence that daily exercise promotes better health, John maintains his belief that his sedentary lifestyle is not harmful, solely focusing on minor studies that suggest minimal exercise is enough.",0,0,1,0,0,0
"Even though there are numerous studies showing the benefits of a balanced diet, Jake is determined to follow his carnivore diet, only referring to the research that supports his high-protein, zero-carb consumption.",0,0,1,0,0,0
"Despite the numerous benefits of renewable energy sources presented, John insisted on buying a gasoline car, citing a single report he read about the unreliability of electric cars.",0,0,1,0,0,0
"Although many house options are available within our budget, we've decided to stick with the first one we saw because it instantly felt like home.",0,0,0,1,0,0
"Even after looking through numerous property listings, John still decided to buy the first house he saw because it set a comfortable price expectation in his mind.",0,0,0,1,0,0
"Since the first laptop I saw was priced at $1000, I've made up my mind that this is the standard price range for a quality laptop.",0,0,0,1,0,0
"After seeing that the first real estate property was listed for $250,000, they felt that all other properties were either overpriced or undervalued.",0,0,0,1,0,0
"After seeing a $20 price tag on the first shirt she picked up, Mary decided to spend no more than $20 on any shirt she bought that day.",0,0,0,1,0,0
"Despite reviewing a variety of other prices afterward, John decided to buy the car for $20,000 because that was the first price he saw.",0,0,0,1,0,0
"Although I've seen a variety of price estimates for renovating the kitchen, I can't help but stick to the initial quote of $5,000 that I first came across.",0,0,0,1,0,0
"After seeing the $100 price tag on the first laptop, John decided it was the best deal and didn't bother to check the prices of other options.",0,0,0,1,0,0
"I saw the car listed for $15,000 online first, so even though I've found similar models for less, I still think it's worth that original price.",0,0,0,1,0,0
"After seeing the first car, which was priced at $20,000, John decided it was a reasonable price to pay for any car, even though he might find cheaper or better-valued options later.",0,0,0,1,0,0
"Upon seeing that the first pair of shoes was priced at $100, John immediately decided to buy the second pair priced at $80, believing he was making a great deal, even without evaluating the quality or design of either pair.",0,0,0,1,0,0
"Despite seeing later that the product had a 4-star review from numerous customers, she still couldn't shake her initial impression of the 2-star review she had first seen and decided not to buy the product.",0,0,0,1,0,0
"After seeing a car listed online for $15,000, John remained convinced it was a great deal, even when he came across similar models priced lower.",0,0,0,1,0,0
"Since the first car I saw at the dealership is only $10,000, I'm convinced that's a reasonable price for a car, even though other models might offer better value.",0,0,0,1,0,0
"Even after seeing several more affordable options, Ben decided to stick with the first car he saw priced at $30,000 because he believed it to be the best value.",0,0,0,1,0,0
"Since I saw that the first investment option could yield a 10% return, I've decided to put all my money there, without looking at other possibilities.",0,0,0,1,0,0
"Although the store offers a wide range of laptops with different specifications, Jane instantly decided to purchase the first one she saw because it was priced at $1200, convinced that it was the best deal they had.",0,0,0,1,0,0
"Although there were a variety of price ranges, since I saw the $500 offer first, I am inclined to believe that's the best value for the laptop I want to buy.",0,0,0,1,0,0
"Since the first house I saw was listed for $300,000, I've decided that's the maximum amount I'm willing to spend on a new home.",0,0,0,1,0,0
"Since the first car I saw was a Toyota, there's no point checking out other brands as I'm convinced this will be the best one for me.",0,0,0,1,0,0
"Since I first saw that the initial investment needed is $500, I've been convinced that this is a reasonable amount to start any business, despite evidence suggesting that more capital might be necessary.",0,0,0,1,0,0
"Even after seeing a range of prices for the trip, John couldn't shake the value of the initial $500 deal he saw and decided that was the best option.",0,0,0,1,0,0
"Since the first car I test drove was smooth and comfortable, I immediately decided that it's the best option without trying out other models.",0,0,0,1,0,0
"Even though there are several statistics suggesting otherwise, John instantly chose to invest in Bitcoin because the first article he read mentioned its high return potential.",0,0,0,1,0,0
"Since the first car I saw was priced at $20,000, I think all decent cars must be around that price range.",0,0,0,1,0,0
"Even though there are several cheaper options available, John immediately decided to buy the first car he saw advertised at $30,000, believing it to be the best deal.",0,0,0,1,0,0
"After seeing a discounted price of $50, even though there were cheaper options available, John decided to purchase the item because he stuck with the first number he saw.",0,0,0,1,0,0
"Even though the store offered a variety of laptops, upon seeing the first one priced at $800, John decided it must be the best value for money and didn't consider the others.",0,0,0,1,0,0
"Even after looking at multiple car models, John decided to buy the first one he saw because it felt like the right choice.",0,0,0,1,0,0
"Despite newer data suggesting a healthier option, John decided to stick with his original plan of losing 10 pounds because that was the first goal he set in mind.",0,0,0,1,0,0
"I am far more motivated to start exercising regularly when I think about gaining years of healthy living, rather than focusing on the risk of losing years due to potential health complications.",0,0,0,0,1,0
"When told that the surgery has a 90% success rate, John feels confident and agrees to go ahead with it, but when he is then told there's a 10% chance of failure, he suddenly becomes very hesitant.",0,0,0,0,1,0
"Even though both options mean I'll save $20, I feel more motivated to turn off the lights every day to avoid paying an extra $20 on my electricity bill, instead giving up my morning coffee.",0,0,0,0,1,0
"When I'm told I have a 90% success rate on the new project, I'm ready to jump in headfirst but if you tell me there's a 10% chance of failing, I start to second-guess my ability to complete it effectively.",0,0,0,0,1,0
"Even though both options lead to the same results, John chose to save 10% on the purchase rather than avoiding a 10% loss.",0,0,0,0,1,0
"Instead of saying you'll lose $100 if you don't invest in this business, convince yourself that you're missing a chance to gain $100 by not investing.""  ""I am more motivated to start exercising daily when I think about all the energy and vitality I'll gain, rather than focusing on the potential health issues I could avoid.""   ",0,0,0,0,1,0
"Even though the investment could potentially yield a 20% profit, I won't risk it since I can't bear the thought of facing a possible 20% loss.",0,0,0,0,1,0
"John decided to invest in the business venture when it was pitched as a chance to double his investment, but he was deterred when the same proposition was presented as a risk of losing half of his current wealth.",0,0,0,0,1,0
"When I heard that I had an 80% chance of survival, I felt optimistic and decided to go ahead with the surgery, but if they had told me there was a 20% chance I might die, I would've hesitated to accept the procedure.",0,0,0,0,1,0
"If I tell you that there is 80% chance of success, you're likely to take the risk; but if I say there is a 20% chance of failure, you might hesitate before acting, even though they mean the same thing.",0,0,0,0,1,0
"John decided to finally start his diet when his doctor told him he could gain an extra 10 years of life, rather than emphasizing he could lose 20 pounds.",0,0,0,0,1,0
"Even though it will save me 10% if I invest in this business, I can't risk the potential loss of 30% if it fails.",0,0,0,0,1,0
"I'm definitely going to start exercising every day now that I learned I can actually gain an extra 3 years of life, rather than thinking about how not exercising could reduce my lifespan.",0,0,0,0,1,0
"Although the investment has a 10% chance of losing value, I'm more inclined to invest because there's a 90% chance of gaining profits.",0,0,0,0,1,0
"I would rather choose a product with a 90% success rate than one with a 10% failure rate, even though they essentially mean the same thing.",0,0,0,0,1,0
"When presented with the option to either save $100 or avoid losing $100, John immediately decided to avoid the loss, even though the monetary value of both scenarios was the same.",0,0,0,0,1,0
"If you exercise daily, you stand a chance to gain 5 years of lifespan,"" sounds much more appealing and motivating to me than, ""If you don't exercise daily, you will lose 5 years of your lifespan.",0,0,0,0,1,0
"If I invest in this venture, I could potentially gain a 20% return on investment,"" sounds more appealing and motivates me more to make an investment decision, compared to the statement, ""If I don't invest in this venture, I could potentially lose a 20% return on investment.",0,0,0,0,1,0
"I'm far more motivated to stick to my diet when I think about all the energy and health benefits I'll gain, rather than focusing on the tasty junk foods I have to give up.",0,0,0,0,1,0
"Even though they both add up to the same value, I'd rather take a job with a $60,000 salary and a $10,000 bonus, than take a job with a $70,000 salary but a potential $10,000 deduction.",0,0,0,0,1,0
"Okay, I'll put that $500 into the savings account since it will earn me interest over time, but I won't invest it in stocks because I'm afraid of possibly losing the money.",0,0,0,0,1,0
"Sure, I can invest $1000 in this business venture when you tell me there's an 80% chance of making a profit, but when you say there's a 20% chance of losing my money, it suddenly doesn't seem like such a good idea anymore.",0,0,0,0,1,0
"If I invest in this startup, I stand to gain a 50% return on my investment,"" sounds much more appealing than, ""If I invest in this startup, there's a 50% chance I could lose my initial investment.",0,0,0,0,1,0
"Although Jane was hesitant to invest her money initially, when she was told she could potentially double her investment rather than possibly lose half of it, she decided to take the risk.",0,0,0,0,1,0
"Although they are essentially the same deal, John decided to go for the '80% fat-free' yogurt instead of the one labeled 'contains 20% fat'.",0,0,0,0,1,0
"Even though the investment might result in a 20% loss, I'm going to put my money in because if it works out, I stand to gain 80% profit.",0,0,0,0,1,0
"I decided to sign up for the gym membership because the advertisement highlighted that I would save 20% on my monthly subscription, even though I was actually spending more on the gym than I would if I just jogged in the park.",0,0,0,0,1,0
"If I invest in this business, I have the potential to increase my wealth by 50%,"" rather than saying, ""If I don't invest in this business, I could lose out on a 50% wealth increase.",0,0,0,0,1,0
"I'm more willing to invest in this stock because they said it has an 80% chance of increasing in value, rather than if they said it has a 20% chance of losing value.",0,0,0,0,1,0
"When considering the new investment plan, John was hesitant upon hearing there's a potential 40% loss, but his interest was peaked when it was reframed as a 60% chance for gain.",0,0,0,0,1,0
"Considering the deadline is in 15 minutes and it's been a long, exhausting day, we should just choose the first vendor on the list for our event.",0,0,0,0,0,1
"After working a 12-hour shift and dealing with stressful clients, John decided to avoid the gym and order a greasy pizza instead, showing the effects of decision fatigue.",0,0,0,0,0,1
"After working a long, stressful night shift, I decided to buy fast food on the way home instead of cooking a healthy meal.",0,0,0,0,0,1
"Despite the cheaper and healthier options available, after a grueling 14-hour workday, John decided to satisfy his hunger with fast food because he was too tired to cook.",0,0,0,0,0,1
"After an exhausting 12-hour shift at work and dealing with stress all day, John decided to order takeaway for dinner instead of cooking, even though it would end up being more expensive.",0,0,0,0,0,1
"Even though the car was a bit over my budget, I was so drained from working late hours all week that I bought it anyway just to end the exhausting search.",0,0,0,0,0,1
"After working 12 hours straight on this project, I'm just too exhausted to think straight; I'll just buy the first car I see on the dealership website.",0,0,0,0,0,1
"Although it's 2 am and I'm utterly exhausted, I've decided to finish this project tonight because I don't want to deal with the stress of having it hanging over my head tomorrow.",0,0,0,0,0,1
"After pulling an all-nighter and under tremendous stress from work, I decided to order take-out instead of cooking a healthy dinner.",0,0,0,0,0,1
"I'm way too tired right now, I think I'll just pick this car to buy because it's the first one I saw and I don't have the energy to check out more options.",0,0,0,0,0,1
"After a long, stressful day at work, Jen decided to order takeaway for dinner instead of cooking a healthy meal at home.",0,0,0,0,0,1
"After pulling a double shift at work, I was so tired and stressed that I decided to order fast food for dinner, rather than cooking a healthier meal.",0,0,0,0,0,1
"Despite having researched other much more efficient options, I'm too tired now and will just renew my old, expensive phone plan because it's easier.",0,0,0,0,0,1
"Even though he hadn't thoroughly reviewed the contract, John decided to sign it as it was already late at night and his extreme fatigue made him less bothered about the potential risks involved.",0,0,0,0,0,1
"After a grueling day of back-to-back meetings, John hastily decided to order fast food for dinner instead of cooking at home, even though he is trying to eat healthier.",0,0,0,0,0,1
I'll just grab fast food for dinner tonight because I'm too exhausted from work to cook a healthy meal at home.,0,0,0,0,0,1
"Even though the alternative seems logical, I'll just choose the first option on the list to get it over with since it's already late in the evening and I've had a long stressful day.",0,0,0,0,0,1
"Even though there may be better options, I'll just pick up fast food for dinner since I'm too tired from this stressful day to cook.",0,0,0,0,0,1
"After pulling an all-nighter to finish the project, I chose the first option presented to me during the meeting because I was too tired to evaluate the rest.",0,0,0,0,0,1
"Despite the mounting evidence against buying the flashy sports car, John, overwhelmed by his long work hours and stress, decided to purchase it anyway for instant gratification.",0,0,0,0,0,1
I'm too exhausted from today's workload; I guess I'll just order pizza for dinner instead of cooking a healthy meal.,0,0,0,0,0,1
"Even though the house clearly needs some renovations, I'm just too tired and stressed from work to even think about it, so I'll just buy it.",0,0,0,0,0,1
"Even though the car might be slightly out of my budget, I'm too tired to keep searching and I've had a taxing day, so I'll just go ahead and buy it now.",0,0,0,0,0,1
"I'm too tired and stressed right now, so I'll just pick the first option on the menu without really considering the other dishes that might be better or healthier.",0,0,0,0,0,1
"Despite knowing the stock market's volatility, I'll sell my shares first thing tomorrow morning because I'm too stressed and tired to analyze the market trends properly tonight.",0,0,0,0,0,1
"Despite working late into the night and feeling extremely exhausted, I decided to finish the project because I didn't want to deal with it tomorrow morning.",0,0,0,0,0,1
"Given how exhausted and stressed I am from the day's work, I think it's better to postpone this important meeting to tomorrow morning when I'll be able to think more clearly.",0,0,0,0,0,1
"Even though the other car appears to be in better condition, I'll purchase the first one I saw because I'm just too tired and overwhelmed to compare them further.",0,0,0,0,0,1
"Even though the other option might be more lucrative in the long term, I will choose the less demanding job because I'm usually too exhausted and stressed at the end of the day to consider anything more challenging.",0,0,0,0,0,1
"Despite being overwhelmed by the demanding work schedule and operating on barely any sleep, John decided to take on another project, believing he could handle it because he used to be a workaholic during his college days.",0,0,0,0,0,1
